@relation R_data_frame

@attribute name {'Aaron Feigelson','Alexander M. Meystel','Alma Whitten','Ameur Foued','Andrew W. Moore','Andrew Y. Ng','Andrey Burago','Anselm Blumer','Antoine Cornuejols','Arlindo Oliveira','Armand Prieditis','Arun Sharma','Attilio Giordana','Aurora Perez','Avrim Blum','Bala Kalyanasundaram','Barak A. Pearlmutter','Bernhard Pfahringer','Bhaskar Dasgupta','Bill Byrne','Bir Bhanu','Bob Evans','Bradley L. Whitehall','Brian D. Davidson','Brian Tester','Bruce A. MacDonald','Carl H. Smith','Carla E. Brodley','Charles X. Ling','Chen K. Tham','Chidanand Apte','Chris Darken','Chris Drummond','Chun-Nan Hsu','Claire Cardie','Clare Bates Congdon','Claude Sammut','Claudio Facchinetti','Craig Knoblock','Craig Nevill-Manning','Cristina Baroglio','Cullen Schaffer','Dan Oblinger','Dan Roth','Dana Angluin','Dana Ron','Daniel Hennessy','Daniel Kortenkamp','Daniel L. Silver','Darko Zupanic','David B. Skalak','David Cohn','David Finton','David Gillman','David Haussler','David Helmbold','David Loewenstern','David Mathias','David Montgomery','David Pierce','David W. Aha','David W. Opitz','Dennis F. Kibler','Diana Gordon','Donna Slonim','Drago Indjic','Dunja Mladenic','Earl S. Harris Jr.','Ed Pednault','Eddy Mayoraz','Efim Kinber','Emanuel Knill','Eric Allender','Eric Baum','Eyal Kushilevitz','Fernando Pereira','Filippo Neri','Foster J. Provost','Frank Stephan','Gary M. Selzer','Gary Weiss','Geoffrey Gordon','George A. Drastal','George Berg','George H. John','Gerald F. DeJong','Glenn Silverstein','Grigoris Karakoulas','Hal Duncan','Haralabos Athanassiou','Harris Drucker','Haym Hirsh','Hiroshi Motoda','Hiroshi Tanaka','Holly Yanco','Huw Roberts','Irina Tchoumatchenko','J. Jeffrey Mahoney','J. R. Quinlan','James S. Royer','Janusz Wnek','Jason Catlett','Javed Aslam','Jean Gabriel Ganascia','Jean-Daniel Zucker','Jeff Jackson','Jeffery Clouse','Jiarong Hong','Jing Peng','Joe Suzuki','Joel Ratsaby','Johanne Morin','Johannes Furnkranz','John Case','John Fischer','John M. Zelle','John R. Rose','John Rachlin','Jonathan Gratch','Jonathan Hodgson','Jong-Hoon Oh','Jorg-Uwe Kietz','Jose L. Balcazar','Joseph O\'Sullivan','Jude Shavlik','Judy A. Franklin','Justin Boyan','Justinian Rosca','Jyrki Kivinen','Kamal M. Ali','Kan Deng','Karsten Verbeurgt','Kate Goelz','Kazushi Ikeda','Ken Lang','Kenji Yamanishi','Kimmen Sjolander','Klaus P. Jantke','Krishnan Pillaipakkamnatt','L. Thorne McCarty','Lance Fortnow','Lance Riley','Lars Asker','Leonard Pitt','Leslie Grate','Leslie Pack Kaelbling','Lindley Darden','Lisa Hellerstein','Long-Ji Lin','Lorenza Saitta','Lorien Y. Pratt','Lyle H. Ungar','Maja Mataric','Malini Bhandaru','Mandayam T. Suraj','Manfred Warmuth','Marcos Salganicoff','Margo Guertin','Mario Marchand','Mark Changizi','Mark Schwabacher','Mark Staley','Mark W. Craven','Marko Grobelnik','Martin Kummer','Martinch Krikis','Mary Soon Lee','Masayuki Inaba','Matevz Kovacic','Matthias Heger','Melinda T. Gervasio','Merrick L. Furst','Michael A. meystel','Michael I. Jordan','Michael J. Donahue','Michael Kearns','Michael Littman','Michael Redmond','Michael W. Barley','Michael de la Maza','Michele Sebag','Minoru Asada','Mona Singh','Moshe Koppel','Moshe Leshno','Myriam Abramson','Nader Bshouty','Naoki Abe','Nathalie Japkowicz','Neela Khan','Neil Berkman','Nicolas Fiechter','Nicolo Cesa-Bianchi','Nikolay Nikolaev','Nina Mishra','Nitin Indurkhya','Oded Maron','Olivier De Vel','Pang-Chieh Chen','Pascal Koiran','Pat Langley','Patricia J. Riddle','Patrick M. Murphy','Paul Fischer','Paul Utgoff','Paul Vitanyi','Paul W. Goldberg','Peter Bartlett','Phil Long','Philip Chan','Prasad Tadepalli','Priscilla Rasmussen','R. Andrew McCallum','R. Bharat Rao','Randolph Jones','Reinhard Blasig','Ricard Gavalda','Rich Maclin','Richard A. Caruana','Richard S. Sutton','Robert C. Holte','Robert P. Daley','Robert S. Roos','Robert Schapire','Robert Sloan','Robert Williamson','Roberto Piola','Ron Kohavi','Ronald L. Rivest','Roni Khardon','Ronitt Rubinfeld','Russell Greiner','Sally Goldman','Sandra Panizza','Sanjay Jain','Satinder Pal Singh','Scott E. Decatur','Sean Slattery','Sebastian Seung','Seth Flanders','Shai Ben-David','Shaul Markovitch','Sholom Weiss','Sonya Snedecor','Sreerama K. Murthy','Sridhar Mahadevan','Stan Matwin','Stefan Kramer','Steffen Lange','Stephen Kwek','Stephen Muggleton','Steve A. Chien','Steven Minton','Steven Salzberg','Steven W. Norton','Stuart Russell','Susan L. Epstein','Takefumi Yamazaki','Tal Grossman','Tapio Elomaa','Tatsuo Unemi','Thomas E. Kammeyer','Thomas Ellman','Thomas G. Dietterich','Thomas G. Spalthoff','Thomas Wengerek','Thomas Zeugmann','Timothy P. Barber','Tom Bylander','Tom Fawcett','Tom Hancock','Tom M. Mitchell','Toshiyasu Matsushima','Usama Fayyad','Vijay Raghavan','Von-Wun Soo','Wai Lam','Wan P. Chiang','Wee Sun Lee','Welton Becket','William A. Greene','William Cohen','William Gasarch','William Sakas','Wolfgang Janko','Wolfgang Maass','Wray Buntine','Xuemei Wang','Yishay Mansour','Yoav Freund','Yolanda Gil','Yoram Singer','Yoshifumi Sakai','Zhixiang Chen'}
@attribute length {1,2,3}
@attribute even_odd {0,1}
@attribute first_char_vowel {0,1}
@attribute second_char_vowel {0,1}
@attribute vowels {1,2}
@attribute consonants {1,2}
@attribute vowel_consonant_ratio {1,2,3,4}
@attribute spaces {1,2}
@attribute dots {1,2}
@attribute words {1,2}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
'Jean-Daniel Zucker',3,1,0,1,1,1,2,1,1,1,1
'Jeff Jackson',2,1,0,1,1,1,1,1,1,1,1
'Jiarong Hong',2,1,0,1,1,1,2,1,1,1,1
'Jing Peng',2,0,0,1,1,1,1,1,1,1,1
'Joe Suzuki',2,1,0,1,1,1,4,1,1,1,1
'Joel Ratsaby',2,1,0,1,1,1,2,1,1,1,1
'Johannes Furnkranz',3,1,0,1,1,2,1,1,1,1,1
'John Fischer',2,1,0,1,1,1,1,1,1,1,1
'John M. Zelle',2,0,0,1,1,1,1,2,2,2,1
'John R. Rose',2,1,0,1,1,1,1,2,2,2,1
'John Rachlin',2,1,0,1,1,1,1,1,1,1,1
'Jonathan Gratch',2,0,0,1,1,1,1,1,1,1,1
'Jonathan Hodgson',2,1,0,1,1,1,1,1,1,1,1
'Jong-Hoon Oh',2,1,0,1,1,1,2,1,1,1,1
'Jorg-Uwe Kietz',2,1,0,1,1,1,2,1,1,1,1
'Jose L. Balcazar',2,1,0,1,1,1,2,2,2,2,1
'Joseph O\'Sullivan',2,0,0,1,1,1,2,1,1,1,1
'Jude Shavlik',2,1,0,1,1,1,2,1,1,1,1
'Judy A. Franklin',2,1,0,1,1,1,1,2,2,2,1
'Justin Boyan',2,1,0,1,1,1,2,1,1,1,1
'Justinian Rosca',2,0,0,1,1,1,2,1,1,1,1
'Jyrki Kivinen',2,0,0,0,1,1,1,1,1,1,-1
'Kamal M. Ali',2,1,0,1,1,1,2,2,2,2,1
'Kan Deng',1,1,0,1,1,1,1,1,1,1,1
'Karsten Verbeurgt',2,0,0,1,1,2,1,1,1,1,1
'Kate Goelz',2,1,0,1,1,1,2,1,1,1,1
'Kazushi Ikeda',2,0,0,1,1,1,2,1,1,1,1
'Ken Lang',1,1,0,1,1,1,1,1,1,1,1
'Kenji Yamanishi',2,0,0,1,1,1,2,1,1,1,1
'Kimmen Sjolander',2,1,0,1,1,1,1,1,1,1,1
'Klaus P. Jantke',2,0,0,0,1,1,1,2,2,2,-1
'L. Thorne McCarty',2,0,0,0,1,2,1,2,2,2,-1
'Lance Fortnow',2,0,0,1,1,1,1,1,1,1,1
'Lance Riley',2,0,0,1,1,1,2,1,1,1,1
'Lars Asker',2,1,0,1,1,1,1,1,1,1,1
'Leonard Pitt',2,1,0,1,1,1,2,1,1,1,1
'Leslie Grate',2,1,0,1,1,1,2,1,1,1,1
'Leslie Pack Kaelbling',3,0,0,1,1,2,2,2,1,2,1
'Lindley Darden',2,1,0,1,1,1,1,1,1,1,1
'Lisa Hellerstein',2,1,0,1,1,1,2,1,1,1,1
'Long-Ji Lin',2,0,0,1,1,1,1,1,1,1,1
'Lorenza Saitta',2,1,0,1,1,1,2,1,1,1,1
'Lorien Y. Pratt',2,0,0,1,1,1,1,2,2,2,1
'Lyle H. Ungar',2,0,0,0,1,1,1,2,2,2,-1
'Maja Mataric',2,1,0,1,1,1,2,1,1,1,1
'Mandayam T. Suraj',2,0,0,1,1,1,2,2,2,2,1
'Manfred Warmuth',2,0,0,1,1,1,1,1,1,1,1
'Marcos Salganicoff',3,1,0,1,1,2,2,1,1,1,1
'Margo Guertin',2,0,0,1,1,1,2,1,1,1,1
'Mario Marchand',2,1,0,1,1,1,2,1,1,1,1
'Mark Changizi',2,0,0,1,1,1,1,1,1,1,1
'Mark Schwabacher',2,1,0,1,1,2,1,1,1,1,1
'Mark Staley',2,0,0,1,1,1,1,1,1,1,1
'Mark W. Craven',2,1,0,1,1,1,1,2,2,2,1
'Marko Grobelnik',2,0,0,1,1,1,2,1,1,1,1
'Martin Kummer',2,0,0,1,1,1,1,1,1,1,1
'Martinch Krikis',2,0,0,1,1,1,1,1,1,1,1
'Mary Soon Lee',2,0,0,1,1,1,2,2,1,2,1
'Masayuki Inaba',2,1,0,1,1,1,3,1,1,1,1
'Matevz Kovacic',2,1,0,1,1,1,2,1,1,1,1
'Matthias Heger',2,1,0,1,1,1,2,1,1,1,1
'Melinda T. Gervasio',3,0,0,1,1,1,2,2,2,2,1
'Merrick L. Furst',2,1,0,1,1,1,1,2,2,2,1
'Michael A. meystel',3,1,0,1,1,1,2,2,2,2,1
'Michael I. Jordan',2,0,0,1,1,1,2,2,2,2,1
'Michael J. Donahue',3,1,0,1,1,1,2,2,2,2,1
'Michael Littman',2,0,0,1,1,1,2,1,1,1,1
'Michael Redmond',2,0,0,1,1,1,2,1,1,1,1
'Michael W. Barley',2,0,0,1,1,1,2,2,2,2,1
'Michael de la Maza',3,1,0,1,1,1,2,2,1,2,1
'Michele Sebag',2,0,0,1,1,1,2,1,1,1,1
'Minoru Asada',2,1,0,1,1,1,3,1,1,1,1
'Mona Singh',2,1,0,1,1,1,1,1,1,1,1
'Moshe Koppel',2,1,0,1,1,1,2,1,1,1,1
'Moshe Leshno',2,1,0,1,1,1,2,1,1,1,1
'Myriam Abramson',2,0,0,0,1,1,2,1,1,1,-1
'Nader Bshouty',2,0,0,1,1,1,1,1,1,1,1
'Naoki Abe',2,0,0,1,1,1,4,1,1,1,1
'Nathalie Japkowicz',3,1,0,1,1,1,2,1,1,1,1
'Neela Khan',2,1,0,1,1,1,2,1,1,1,1
'Neil Berkman',2,1,0,1,1,1,2,1,1,1,1
'Nicolas Fiechter',2,1,0,1,1,1,2,1,1,1,1
'Nicolo Cesa-Bianchi',3,0,0,1,2,1,2,1,1,1,1
'Nina Mishra',2,0,0,1,1,1,2,1,1,1,1
'Nitin Indurkhya',2,0,0,1,1,1,2,1,1,1,1
'Oded Maron',2,1,1,0,1,1,2,1,1,1,-1
'Olivier De Vel',2,1,1,0,1,1,2,2,1,2,-1
'Pang-Chieh Chen',2,0,0,1,1,1,1,1,1,1,1
'Pascal Koiran',2,0,0,1,1,1,2,1,1,1,1
'Pat Langley',2,0,0,1,1,1,1,1,1,1,1
'Patricia J. Riddle',3,1,0,1,1,1,2,2,2,2,1
'Patrick M. Murphy',2,0,0,1,1,2,1,2,2,2,1
'Paul Fischer',2,1,0,1,1,1,2,1,1,1,1
'Paul Utgoff',2,0,0,1,1,1,2,1,1,1,1
'Paul Vitanyi',2,1,0,1,1,1,2,1,1,1,1
'Paul W. Goldberg',2,1,0,1,1,1,1,2,2,2,1
'Peter Bartlett',2,1,0,1,1,1,1,1,1,1,1
'Phil Long',2,0,0,0,1,1,1,1,1,1,-1
'Philip Chan',2,0,0,0,1,1,1,1,1,1,-1
'Prasad Tadepalli',2,1,0,0,1,1,2,1,1,1,-1
'Priscilla Rasmussen',3,0,0,0,1,2,1,1,1,1,-1
'R. Andrew McCallum',3,1,0,0,1,2,1,2,2,2,-1
'R. Bharat Rao',2,0,0,0,1,1,2,2,2,2,-1
'Randolph Jones',2,1,0,1,1,1,1,1,1,1,1
'Reinhard Blasig',2,0,0,1,1,1,2,1,1,1,1
'Ricard Gavalda',2,1,0,1,1,1,2,1,1,1,1
'Rich Maclin',2,0,0,1,1,1,1,1,1,1,1
'Richard A. Caruana',3,1,0,1,1,1,2,2,2,2,1
'Richard S. Sutton',2,0,0,1,1,1,1,2,2,2,1
'Robert C. Holte',2,0,0,1,1,1,1,2,2,2,1
'Robert P. Daley',2,0,0,1,1,1,1,2,2,2,1
'Robert S. Roos',2,1,0,1,1,1,2,2,2,2,1
'Robert Schapire',2,0,0,1,1,1,2,1,1,1,1
'Robert Sloan',2,1,0,1,1,1,2,1,1,1,1
'Robert Williamson',2,0,0,1,1,1,2,1,1,1,1
'Roberto Piola',2,0,0,1,1,1,2,1,1,1,1
'Ron Kohavi',2,1,0,1,1,1,2,1,1,1,1
'Ronald L. Rivest',2,1,0,1,1,1,1,2,2,2,1
'Roni Khardon',2,1,0,1,1,1,2,1,1,1,1
'Ronitt Rubinfeld',2,1,0,1,1,1,1,1,1,1,1
'Russell Greiner',2,0,0,1,1,1,2,1,1,1,1
'Sally Goldman',2,0,0,1,1,1,1,1,1,1,1
'Sandra Panizza',2,1,0,1,1,1,2,1,1,1,1
'Satinder Pal Singh',3,1,0,1,1,2,1,2,1,2,1
'Scott E. Decatur',2,1,0,0,1,1,2,2,2,2,-1
'Sean Slattery',2,0,0,1,1,1,1,1,1,1,1
'Sebastian Seung',2,0,0,1,1,1,2,1,1,1,1
'Seth Flanders',2,0,0,1,1,1,1,1,1,1,1
'Shai Ben-David',2,1,0,0,1,1,2,1,1,1,-1
'Shaul Markovitch',2,1,0,0,1,1,1,1,1,1,-1
'Sholom Weiss',2,1,0,0,1,1,2,1,1,1,-1
'Sonya Snedecor',2,1,0,1,1,1,2,1,1,1,1
'Sreerama K. Murthy',3,1,0,0,1,1,1,2,2,2,-1
'Sridhar Mahadevan',2,0,0,0,1,1,2,1,1,1,-1
'Stan Matwin',2,0,0,0,1,1,1,1,1,1,-1
'Stefan Kramer',2,0,0,0,1,1,1,1,1,1,-1
'Steffen Lange',2,0,0,0,1,1,1,1,1,1,-1
'Stephen Kwek',2,1,0,0,1,1,1,1,1,1,-1
'Stephen Muggleton',2,0,0,0,1,2,1,1,1,1,-1
'Steve A. Chien',2,1,0,0,1,1,2,2,2,2,-1
'Steven Minton',2,0,0,0,1,1,1,1,1,1,-1
'Steven W. Norton',2,1,0,0,1,1,1,2,2,2,-1
'Stuart Russell',2,1,0,0,1,1,1,1,1,1,-1
'Susan L. Epstein',2,1,0,1,1,1,2,2,2,2,1
'Tatsuo Unemi',2,1,0,1,1,1,3,1,1,1,1
'Thomas E. Kammeyer',3,1,0,0,1,1,2,2,2,2,-1
'Thomas Ellman',2,0,0,0,1,1,1,1,1,1,-1
'Thomas G. Dietterich',3,1,0,0,1,2,2,2,2,2,-1
'Thomas G. Spalthoff',3,0,0,0,1,2,1,2,2,2,-1
'Thomas Wengerek',2,0,0,0,1,1,2,1,1,1,-1
'Thomas Zeugmann',2,0,0,0,1,1,2,1,1,1,-1
'Timothy P. Barber',2,0,0,1,1,1,1,2,2,2,1
'Tom Bylander',2,1,0,1,1,1,1,1,1,1,1
'Tom Fawcett',2,0,0,1,1,1,1,1,1,1,1
'Tom Hancock',2,0,0,1,1,1,1,1,1,1,1
'Toshiyasu Matsushima',3,1,0,1,2,2,2,1,1,1,1
'Usama Fayyad',2,1,1,0,1,1,2,1,1,1,-1
'Vijay Raghavan',2,1,0,1,1,1,2,1,1,1,1
