@relation R_data_frame

@attribute name {'Aaron Feigelson','Alexander M. Meystel','Alma Whitten','Ameur Foued','Andrew W. Moore','Andrew Y. Ng','Andrey Burago','Anselm Blumer','Antoine Cornuejols','Arlindo Oliveira','Armand Prieditis','Arun Sharma','Attilio Giordana','Aurora Perez','Avrim Blum','Bala Kalyanasundaram','Barak A. Pearlmutter','Bernhard Pfahringer','Bhaskar Dasgupta','Bill Byrne','Bir Bhanu','Bob Evans','Bradley L. Whitehall','Brian D. Davidson','Brian Tester','Bruce A. MacDonald','Carl H. Smith','Carla E. Brodley','Charles X. Ling','Chen K. Tham','Chidanand Apte','Chris Darken','Chris Drummond','Chun-Nan Hsu','Claire Cardie','Clare Bates Congdon','Claude Sammut','Claudio Facchinetti','Craig Knoblock','Craig Nevill-Manning','Cristina Baroglio','Cullen Schaffer','Dan Oblinger','Dan Roth','Dana Angluin','Dana Ron','Daniel Hennessy','Daniel Kortenkamp','Daniel L. Silver','Darko Zupanic','David B. Skalak','David Cohn','David Finton','David Gillman','David Haussler','David Helmbold','David Loewenstern','David Mathias','David Montgomery','David Pierce','David W. Aha','David W. Opitz','Dennis F. Kibler','Diana Gordon','Donna Slonim','Drago Indjic','Dunja Mladenic','Earl S. Harris Jr.','Ed Pednault','Eddy Mayoraz','Efim Kinber','Emanuel Knill','Eric Allender','Eric Baum','Eyal Kushilevitz','Fernando Pereira','Filippo Neri','Foster J. Provost','Frank Stephan','Gary M. Selzer','Gary Weiss','Geoffrey Gordon','George A. Drastal','George Berg','George H. John','Gerald F. DeJong','Glenn Silverstein','Grigoris Karakoulas','Hal Duncan','Haralabos Athanassiou','Harris Drucker','Haym Hirsh','Hiroshi Motoda','Hiroshi Tanaka','Holly Yanco','Huw Roberts','Irina Tchoumatchenko','J. Jeffrey Mahoney','J. R. Quinlan','James S. Royer','Janusz Wnek','Jason Catlett','Javed Aslam','Jean Gabriel Ganascia','Jean-Daniel Zucker','Jeff Jackson','Jeffery Clouse','Jiarong Hong','Jing Peng','Joe Suzuki','Joel Ratsaby','Johanne Morin','Johannes Furnkranz','John Case','John Fischer','John M. Zelle','John R. Rose','John Rachlin','Jonathan Gratch','Jonathan Hodgson','Jong-Hoon Oh','Jorg-Uwe Kietz','Jose L. Balcazar','Joseph O\'Sullivan','Jude Shavlik','Judy A. Franklin','Justin Boyan','Justinian Rosca','Jyrki Kivinen','Kamal M. Ali','Kan Deng','Karsten Verbeurgt','Kate Goelz','Kazushi Ikeda','Ken Lang','Kenji Yamanishi','Kimmen Sjolander','Klaus P. Jantke','Krishnan Pillaipakkamnatt','L. Thorne McCarty','Lance Fortnow','Lance Riley','Lars Asker','Leonard Pitt','Leslie Grate','Leslie Pack Kaelbling','Lindley Darden','Lisa Hellerstein','Long-Ji Lin','Lorenza Saitta','Lorien Y. Pratt','Lyle H. Ungar','Maja Mataric','Malini Bhandaru','Mandayam T. Suraj','Manfred Warmuth','Marcos Salganicoff','Margo Guertin','Mario Marchand','Mark Changizi','Mark Schwabacher','Mark Staley','Mark W. Craven','Marko Grobelnik','Martin Kummer','Martinch Krikis','Mary Soon Lee','Masayuki Inaba','Matevz Kovacic','Matthias Heger','Melinda T. Gervasio','Merrick L. Furst','Michael A. meystel','Michael I. Jordan','Michael J. Donahue','Michael Kearns','Michael Littman','Michael Redmond','Michael W. Barley','Michael de la Maza','Michele Sebag','Minoru Asada','Mona Singh','Moshe Koppel','Moshe Leshno','Myriam Abramson','Nader Bshouty','Naoki Abe','Nathalie Japkowicz','Neela Khan','Neil Berkman','Nicolas Fiechter','Nicolo Cesa-Bianchi','Nikolay Nikolaev','Nina Mishra','Nitin Indurkhya','Oded Maron','Olivier De Vel','Pang-Chieh Chen','Pascal Koiran','Pat Langley','Patricia J. Riddle','Patrick M. Murphy','Paul Fischer','Paul Utgoff','Paul Vitanyi','Paul W. Goldberg','Peter Bartlett','Phil Long','Philip Chan','Prasad Tadepalli','Priscilla Rasmussen','R. Andrew McCallum','R. Bharat Rao','Randolph Jones','Reinhard Blasig','Ricard Gavalda','Rich Maclin','Richard A. Caruana','Richard S. Sutton','Robert C. Holte','Robert P. Daley','Robert S. Roos','Robert Schapire','Robert Sloan','Robert Williamson','Roberto Piola','Ron Kohavi','Ronald L. Rivest','Roni Khardon','Ronitt Rubinfeld','Russell Greiner','Sally Goldman','Sandra Panizza','Sanjay Jain','Satinder Pal Singh','Scott E. Decatur','Sean Slattery','Sebastian Seung','Seth Flanders','Shai Ben-David','Shaul Markovitch','Sholom Weiss','Sonya Snedecor','Sreerama K. Murthy','Sridhar Mahadevan','Stan Matwin','Stefan Kramer','Steffen Lange','Stephen Kwek','Stephen Muggleton','Steve A. Chien','Steven Minton','Steven Salzberg','Steven W. Norton','Stuart Russell','Susan L. Epstein','Takefumi Yamazaki','Tal Grossman','Tapio Elomaa','Tatsuo Unemi','Thomas E. Kammeyer','Thomas Ellman','Thomas G. Dietterich','Thomas G. Spalthoff','Thomas Wengerek','Thomas Zeugmann','Timothy P. Barber','Tom Bylander','Tom Fawcett','Tom Hancock','Tom M. Mitchell','Toshiyasu Matsushima','Usama Fayyad','Vijay Raghavan','Von-Wun Soo','Wai Lam','Wan P. Chiang','Wee Sun Lee','Welton Becket','William A. Greene','William Cohen','William Gasarch','William Sakas','Wolfgang Janko','Wolfgang Maass','Wray Buntine','Xuemei Wang','Yishay Mansour','Yoav Freund','Yolanda Gil','Yoram Singer','Yoshifumi Sakai','Zhixiang Chen'}
@attribute length {1,2}
@attribute even_odd {0,1}
@attribute first_char_vowel {0,1}
@attribute second_char_vowel {0,1}
@attribute vowels {1,2}
@attribute consonants {1,2}
@attribute vowel_consonant_ratio {1,2,3,4,5}
@attribute spaces {1,2}
@attribute dots {1,2}
@attribute words {1,2}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
'Jean-Daniel Zucker',2,1,0,1,1,2,2,1,1,1,1
'Jeff Jackson',1,1,0,1,1,1,1,1,1,1,1
'Jeffery Clouse',1,1,0,1,1,1,2,1,1,1,1
'Jiarong Hong',1,1,0,1,1,1,2,1,1,1,1
'Jing Peng',1,0,0,1,1,1,1,1,1,1,1
'Joe Suzuki',1,1,0,1,1,1,3,1,1,1,1
'Joel Ratsaby',1,1,0,1,1,1,2,1,1,1,1
'Johanne Morin',1,0,0,1,1,1,2,1,1,1,1
'Johannes Furnkranz',2,1,0,1,1,2,2,1,1,1,1
'John Case',1,0,0,1,1,1,2,1,1,1,1
'John Fischer',1,1,0,1,1,1,1,1,1,1,1
'John M. Zelle',1,0,0,1,1,1,2,2,2,2,1
'John R. Rose',1,1,0,1,1,1,2,2,2,2,1
'John Rachlin',1,1,0,1,1,1,1,1,1,1,1
'Jonathan Gratch',1,0,0,1,1,2,2,1,1,1,1
'Jonathan Hodgson',1,1,0,1,1,2,2,1,1,1,1
'Jong-Hoon Oh',1,1,0,1,1,1,2,1,1,1,1
'Jorg-Uwe Kietz',1,1,0,1,1,1,2,1,1,1,1
'Joseph O\'Sullivan',1,0,0,1,1,2,2,1,1,1,1
'Jude Shavlik',1,1,0,1,1,1,2,1,1,1,1
'Judy A. Franklin',1,1,0,1,1,2,2,2,2,2,1
'Justin Boyan',1,1,0,1,1,1,2,1,1,1,1
'Justinian Rosca',1,0,0,1,1,1,3,1,1,1,1
'Jyrki Kivinen',1,0,0,0,1,1,2,1,1,1,-1
'Kamal M. Ali',1,1,0,1,1,1,3,2,2,2,1
'Kan Deng',1,1,0,1,1,1,2,1,1,1,1
'Karsten Verbeurgt',1,0,0,1,1,2,2,1,1,1,1
'Kate Goelz',1,1,0,1,1,1,3,1,1,1,1
'Kazushi Ikeda',1,0,0,1,1,1,3,1,1,1,1
'Ken Lang',1,1,0,1,1,1,2,1,1,1,1
'Kenji Yamanishi',1,0,0,1,1,1,3,1,1,1,1
'Kimmen Sjolander',1,1,0,1,1,2,2,1,1,1,1
'Klaus P. Jantke',1,0,0,0,1,1,2,2,2,2,-1
'Krishnan Pillaipakkamnatt',2,0,0,0,2,2,2,1,1,1,-1
'L. Thorne McCarty',1,0,0,0,1,2,1,2,2,2,-1
'Lance Fortnow',1,0,0,1,1,1,2,1,1,1,1
'Lance Riley',1,0,0,1,1,1,2,1,1,1,1
'Lars Asker',1,1,0,1,1,1,2,1,1,1,1
'Leonard Pitt',1,1,0,1,1,1,2,1,1,1,1
'Leslie Grate',1,1,0,1,1,1,3,1,1,1,1
'Leslie Pack Kaelbling',2,0,0,1,1,2,2,2,1,2,1
'Lisa Hellerstein',1,1,0,1,1,2,2,1,1,1,1
'Long-Ji Lin',1,0,0,1,1,1,2,1,1,1,1
'Lorenza Saitta',1,1,0,1,1,1,3,1,1,1,1
'Lyle H. Ungar',1,0,0,0,1,1,2,2,2,2,-1
'Maja Mataric',1,1,0,1,1,1,3,1,1,1,1
'Malini Bhandaru',1,0,0,1,1,1,3,1,1,1,1
'Mandayam T. Suraj',1,0,0,1,1,2,2,2,2,2,1
'Marcos Salganicoff',2,1,0,1,1,2,2,1,1,1,1
'Margo Guertin',1,0,0,1,1,1,2,1,1,1,1
'Mario Marchand',1,1,0,1,1,1,2,1,1,1,1
'Mark Changizi',1,0,0,1,1,1,2,1,1,1,1
'Mark Schwabacher',1,1,0,1,1,2,1,1,1,1,1
'Mark Staley',1,0,0,1,1,1,2,1,1,1,1
'Mark W. Craven',1,1,0,1,1,1,1,2,2,2,1
'Marko Grobelnik',1,0,0,1,1,2,2,1,1,1,1
'Martin Kummer',1,0,0,1,1,1,2,1,1,1,1
'Martinch Krikis',1,0,0,1,1,2,2,1,1,1,1
'Mary Soon Lee',1,0,0,1,1,1,3,2,1,2,1
'Masayuki Inaba',1,1,0,1,1,1,3,1,1,1,1
'Matevz Kovacic',1,1,0,1,1,1,2,1,1,1,1
'Matthias Heger',1,1,0,1,1,1,2,1,1,1,1
'Melinda T. Gervasio',2,0,0,1,1,2,3,2,2,2,1
'Merrick L. Furst',1,1,0,1,1,2,1,2,2,2,1
'Michael A. meystel',2,1,0,1,1,2,2,2,2,2,1
'Michael I. Jordan',1,0,0,1,1,1,3,2,2,2,1
'Michael J. Donahue',2,1,0,1,1,1,3,2,2,2,1
'Michael Littman',1,0,0,1,1,2,2,1,1,1,1
'Michael Redmond',1,0,0,1,1,2,2,1,1,1,1
'Michael W. Barley',1,0,0,1,1,2,2,2,2,2,1
'Michael de la Maza',2,1,0,1,1,1,3,2,1,2,1
'Michele Sebag',1,0,0,1,1,1,2,1,1,1,1
'Minoru Asada',1,1,0,1,1,1,3,1,1,1,1
'Mona Singh',1,1,0,1,1,1,2,1,1,1,1
'Moshe Koppel',1,1,0,1,1,1,2,1,1,1,1
'Moshe Leshno',1,1,0,1,1,1,2,1,1,1,1
'Myriam Abramson',1,0,0,0,1,2,2,1,1,1,-1
'Nader Bshouty',1,0,0,1,1,1,2,1,1,1,1
'Naoki Abe',1,0,0,1,1,1,5,1,1,1,1
'Neil Berkman',1,1,0,1,1,1,2,1,1,1,1
'Nicolas Fiechter',1,1,0,1,1,2,2,1,1,1,1
'Nicolo Cesa-Bianchi',2,0,0,1,2,2,3,1,1,1,1
'Nikolay Nikolaev',1,1,0,1,1,1,3,1,1,1,1
'Nina Mishra',1,0,0,1,1,1,2,1,1,1,1
'Nitin Indurkhya',1,0,0,1,1,2,2,1,1,1,1
'Oded Maron',1,1,1,0,1,1,3,1,1,1,-1
'Olivier De Vel',1,1,1,0,1,1,3,2,1,2,-1
'Pang-Chieh Chen',1,0,0,1,1,2,2,1,1,1,1
'Pascal Koiran',1,0,0,1,1,1,2,1,1,1,1
'Pat Langley',1,0,0,1,1,1,2,1,1,1,1
'Patricia J. Riddle',2,1,0,1,1,2,2,2,2,2,1
'Patrick M. Murphy',1,0,0,1,1,2,1,2,2,2,1
'Paul Fischer',1,1,0,1,1,1,2,1,1,1,1
'Paul Utgoff',1,0,0,1,1,1,2,1,1,1,1
'Paul Vitanyi',1,1,0,1,1,1,3,1,1,1,1
'Paul W. Goldberg',1,1,0,1,1,2,2,2,2,2,1
'Peter Bartlett',1,1,0,1,1,2,2,1,1,1,1
'Phil Long',1,0,0,0,1,1,1,1,1,1,-1
'Philip Chan',1,0,0,0,1,1,2,1,1,1,-1
'Prasad Tadepalli',1,1,0,0,1,2,2,1,1,1,-1
'Priscilla Rasmussen',2,0,0,0,1,2,2,1,1,1,-1
'R. Andrew McCallum',2,1,0,0,1,2,1,2,2,2,-1
'R. Bharat Rao',1,0,0,0,1,1,2,2,2,2,-1
'Randolph Jones',1,1,0,1,1,2,2,1,1,1,1
'Ricard Gavalda',1,1,0,1,1,1,2,1,1,1,1
'Richard A. Caruana',2,1,0,1,1,1,3,2,2,2,1
'Richard S. Sutton',1,0,0,1,1,2,2,2,2,2,1
'Robert C. Holte',1,0,0,1,1,1,2,2,2,2,1
'Robert P. Daley',1,0,0,1,1,1,2,2,2,2,1
'Robert Schapire',1,0,0,1,1,2,2,1,1,1,1
'Robert Sloan',1,1,0,1,1,1,2,1,1,1,1
'Robert Williamson',1,0,0,1,1,2,2,1,1,1,1
'Roberto Piola',1,0,0,1,1,1,3,1,1,1,1
'Ron Kohavi',1,1,0,1,1,1,3,1,1,1,1
'Ronald L. Rivest',1,1,0,1,1,2,2,2,2,2,1
'Roni Khardon',1,1,0,1,1,1,2,1,1,1,1
'Ronitt Rubinfeld',1,1,0,1,1,2,2,1,1,1,1
'Sally Goldman',1,0,0,1,1,2,1,1,1,1,1
'Sandra Panizza',1,1,0,1,1,1,2,1,1,1,1
'Sanjay Jain',1,0,0,1,1,1,2,1,1,1,1
'Satinder Pal Singh',2,1,0,1,1,2,2,2,1,2,1
'Scott E. Decatur',1,1,0,0,1,1,2,2,2,2,-1
'Sean Slattery',1,0,0,1,1,1,2,1,1,1,1
'Sebastian Seung',1,0,0,1,1,1,3,1,1,1,1
'Seth Flanders',1,0,0,1,1,2,1,1,1,1,1
'Shai Ben-David',1,1,0,0,1,1,2,1,1,1,-1
'Shaul Markovitch',1,1,0,0,1,2,2,1,1,1,-1
'Sholom Weiss',1,1,0,0,1,1,2,1,1,1,-1
'Sonya Snedecor',1,1,0,1,1,1,2,1,1,1,1
'Sreerama K. Murthy',2,1,0,0,1,2,2,2,2,2,-1
'Stan Matwin',1,0,0,0,1,1,2,1,1,1,-1
'Stefan Kramer',1,0,0,0,1,1,2,1,1,1,-1
'Steffen Lange',1,0,0,0,1,1,2,1,1,1,-1
'Stephen Kwek',1,1,0,0,1,1,1,1,1,1,-1
'Stephen Muggleton',1,0,0,0,1,2,2,1,1,1,-1
'Steve A. Chien',1,1,0,0,1,1,3,2,2,2,-1
'Steven Minton',1,0,0,0,1,1,2,1,1,1,-1
'Steven Salzberg',1,0,0,0,1,2,2,1,1,1,-1
'Steven W. Norton',1,1,0,0,1,2,2,2,2,2,-1
'Stuart Russell',1,1,0,0,1,2,2,1,1,1,-1
'Susan L. Epstein',1,1,0,1,1,1,2,2,2,2,1
'Takefumi Yamazaki',1,0,0,1,2,1,3,1,1,1,1
'Tal Grossman',1,1,0,1,1,1,1,1,1,1,1
'Tapio Elomaa',1,1,0,1,1,1,5,1,1,1,1
'Tatsuo Unemi',1,1,0,1,1,1,3,1,1,1,1
'Thomas E. Kammeyer',2,1,0,0,1,2,2,2,2,2,-1
'Thomas Ellman',1,0,0,0,1,1,2,1,1,1,-1
'Thomas G. Dietterich',2,1,0,0,1,2,2,2,2,2,-1
'Thomas G. Spalthoff',2,0,0,0,1,2,1,2,2,2,-1
'Thomas Wengerek',1,0,0,0,1,2,2,1,1,1,-1
'Thomas Zeugmann',1,0,0,0,1,2,2,1,1,1,-1
'Timothy P. Barber',1,0,0,1,1,2,2,2,2,2,1
'Tom Bylander',1,1,0,1,1,1,1,1,1,1,1
'Tom Fawcett',1,0,0,1,1,1,2,1,1,1,1
'Tom Hancock',1,0,0,1,1,1,2,1,1,1,1
'Tom M. Mitchell',1,0,0,1,1,2,1,2,2,2,1
'Toshiyasu Matsushima',2,1,0,1,2,2,2,1,1,1,1
'Usama Fayyad',1,1,1,0,1,1,3,1,1,1,-1
